Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,home,game_id
Raúl Jiménez,7.0,mx MEX,FW,33-103,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Alex Iwobi,17.0,ng NGA,LW,28-105,90,4,3,1,2,1,1,100.0,0,0,0,0,0,4,1,0,False,ManchesterUtd_Fulham_20240816
Adama Traoré,11.0,es ESP,RW,28-204,77,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,False,ManchesterUtd_Fulham_20240816
Harry Wilson,8.0,wls WAL,RW,27-147,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Emile Smith Rowe,32.0,eng ENG,AM,24-019,63,1,1,1,0,0,1,100.0,0,1,0,1,2,3,0,0,False,ManchesterUtd_Fulham_20240816
Tom Cairney,10.0,sct SCO,"DM,AM",33-209,27,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Saša Lukić,20.0,rs SRB,DM,28-003,89,3,2,2,1,0,2,0.0,2,1,0,1,1,4,1,0,False,ManchesterUtd_Fulham_20240816
Jay Stansfield,28.0,eng ENG,"AM,DM",21-266,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Andreas Pereira,18.0,br BRA,"DM,AM",28-228,89,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,False,ManchesterUtd_Fulham_20240816
Harrison Reed,6.0,eng ENG,DM,29-202,1,1,1,0,1,0,0,,0,0,0,0,0,1,0,0,False,ManchesterUtd_Fulham_20240816
Antonee Robinson,33.0,us USA,LB,27-008,90,8,6,4,4,0,5,80.0,1,0,0,0,2,10,6,0,False,ManchesterUtd_Fulham_20240816
Calvin Bassey,3.0,ng NGA,CB,24-229,90,1,1,0,1,0,1,100.0,0,2,1,1,0,1,3,1,False,ManchesterUtd_Fulham_20240816
Issa Diop,31.0,fr FRA,CB,27-220,90,4,3,2,2,0,3,100.0,0,1,1,0,0,4,5,0,False,ManchesterUtd_Fulham_20240816
Kenny Tete,2.0,nl NED,RB,28-312,90,1,0,1,0,0,3,33.3,2,2,0,2,3,4,1,0,False,ManchesterUtd_Fulham_20240816
Bernd Leno,1.0,de GER,GK,32-165,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,False,ManchesterUtd_Fulham_20240816
Liam Delap,19.0,eng ENG,FW,21-191,73,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,IpswichTown_Liverpool_20240817
Ali Al Hamadi,16.0,iq IRQ,FW,22-169,17,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,IpswichTown_Liverpool_20240817
Omari Hutchinson,20.0,eng ENG,"LW,RW",20-292,90,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Wes Burns,7.0,wls WAL,RW,29-268,56,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,IpswichTown_Liverpool_20240817
Ben Johnson,18.0,eng ENG,"RB,RW",24-206,34,4,2,4,0,0,3,66.7,1,0,0,0,1,5,1,0,True,IpswichTown_Liverpool_20240817
Conor Chaplin,10.0,eng ENG,AM,27-183,64,2,2,2,0,0,1,100.0,0,2,0,2,0,2,0,0,True,IpswichTown_Liverpool_20240817
Marcus Harness,11.0,eng ENG,AM,28-175,26,0,0,0,0,0,3,0.0,3,1,1,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Massimo Luongo,25.0,au AUS,DM,31-327,64,2,1,2,0,0,2,100.0,0,2,1,1,0,2,1,0,True,IpswichTown_Liverpool_20240817
Jack Taylor,14.0,ie IRL,DM,26-055,26,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,IpswichTown_Liverpool_20240817
Sam Morsy,5.0,eg EGY,DM,32-342,90,5,1,2,2,1,4,75.0,1,0,0,0,0,5,1,0,True,IpswichTown_Liverpool_20240817
Leif Davis,3.0,eng ENG,LB,24-218,90,4,2,4,0,0,3,66.7,1,0,0,0,0,4,4,0,True,IpswichTown_Liverpool_20240817
Jacob Greaves,24.0,eng ENG,CB,23-340,90,0,0,0,0,0,0,,0,2,1,1,2,2,8,0,True,IpswichTown_Liverpool_20240817
Luke Woolfenden,6.0,eng ENG,CB,25-301,90,0,0,0,0,0,0,,0,5,2,3,4,4,7,0,True,IpswichTown_Liverpool_20240817
Axel Tuanzebe,40.0,cd COD,RB,26-277,73,3,2,3,0,0,3,33.3,2,1,0,1,1,4,1,0,True,IpswichTown_Liverpool_20240817
Sammie Szmodics,23.0,ie IRL,LW,28-328,17,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,True,IpswichTown_Liverpool_20240817
Christian Walton,28.0,eng ENG,GK,28-282,90,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,True,IpswichTown_Liverpool_20240817
Diogo Jota,20.0,pt POR,FW,27-257,78,1,0,0,1,0,1,100.0,0,0,0,0,1,2,1,0,False,IpswichTown_Liverpool_20240817
Cody Gakpo,18.0,nl NED,FW,25-102,12,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,IpswichTown_Liverpool_20240817
Luis Díaz,7.0,co COL,LW,27-217,90,1,1,1,0,0,1,100.0,0,1,0,1,0,1,1,0,False,IpswichTown_Liverpool_20240817
Mohamed Salah,11.0,eg EGY,RW,32-063,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,IpswichTown_Liverpool_20240817
Dominik Szoboszlai,8.0,hu HUN,AM,23-297,90,1,0,1,0,0,1,100.0,0,1,0,1,0,1,1,0,False,IpswichTown_Liverpool_20240817
Alexis Mac Allister,10.0,ar ARG,DM,25-237,90,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,False,IpswichTown_Liverpool_20240817
Ryan Gravenberch,38.0,nl NED,DM,22-093,90,3,1,0,0,3,2,100.0,0,3,0,3,0,3,0,0,False,IpswichTown_Liverpool_20240817
Andrew Robertson,26.0,sct SCO,LB,30-159,78,1,0,1,0,0,0,,0,0,0,0,1,2,2,0,False,IpswichTown_Liverpool_20240817
Kostas Tsimikas,21.0,gr GRE,LB,28-097,12,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,False,IpswichTown_Liverpool_20240817
Virgil van Dijk,4.0,nl NED,CB,33-040,90,0,0,0,0,0,0,,0,0,0,0,1,1,2,1,False,IpswichTown_Liverpool_20240817
Jarell Quansah,78.0,eng ENG,CB,21-201,45,2,2,1,1,0,0,,0,1,1,0,1,3,3,0,False,IpswichTown_Liverpool_20240817
Ibrahima Konaté,5.0,fr FRA,CB,25-084,45,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,False,IpswichTown_Liverpool_20240817
Trent Alexander-Arnold,66.0,eng ENG,RB,25-315,76,0,0,0,0,0,1,0.0,1,3,0,3,0,0,1,0,False,IpswichTown_Liverpool_20240817
Conor Bradley,84.0,nir NIR,RB,21-039,14,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,IpswichTown_Liverpool_20240817
Alisson,1.0,br BRA,GK,31-320,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,IpswichTown_Liverpool_20240817
Alexander Isak,14.0,se SWE,FW,24-331,90,1,1,0,1,0,0,,0,1,0,1,1,2,3,0,True,NewcastleUtd_Southampton_20240817
Anthony Gordon,10.0,eng ENG,LW,23-175,69,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,NewcastleUtd_Southampton_20240817
Harvey Barnes,11.0,eng ENG,LW,26-252,21,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,NewcastleUtd_Southampton_20240817
Jacob Murphy,23.0,eng ENG,RW,29-175,29,3,3,1,2,0,3,100.0,0,0,0,0,0,3,0,0,True,NewcastleUtd_Southampton_20240817
Emil Krafth,17.0,se SWE,CB,30-015,61,0,0,0,0,0,0,,0,2,2,0,0,0,6,0,True,NewcastleUtd_Southampton_20240817
Joelinton,7.0,br BRA,LM,28-003,90,1,1,0,1,0,1,0.0,1,4,2,2,1,2,6,0,True,NewcastleUtd_Southampton_20240817
Bruno Guimarães,39.0,br BRA,CM,26-275,90,6,4,4,1,1,1,100.0,0,4,1,3,1,7,3,0,True,NewcastleUtd_Southampton_20240817
Sean Longstaff,36.0,eng ENG,RM,26-292,90,3,3,1,2,0,2,50.0,1,2,0,2,0,3,1,0,True,NewcastleUtd_Southampton_20240817
Lewis Hall,20.0,eng ENG,LB,19-344,69,0,0,0,0,0,3,0.0,3,4,2,2,1,1,4,0,True,NewcastleUtd_Southampton_20240817
Lloyd Kelly,25.0,eng ENG,LB,25-316,21,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,True,NewcastleUtd_Southampton_20240817
Dan Burn,33.0,eng ENG,CB,32-100,90,0,0,0,0,0,0,,0,1,1,0,0,0,10,0,True,NewcastleUtd_Southampton_20240817
Fabian Schär,5.0,ch SUI,CB,32-241,27,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,NewcastleUtd_Southampton_20240817
Valentino Livramento,21.0,eng ENG,RB,21-279,90,2,2,2,0,0,3,66.7,1,5,2,3,0,2,3,0,True,NewcastleUtd_Southampton_20240817
Nick Pope,22.0,eng ENG,GK,32-120,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,NewcastleUtd_Southampton_20240817
Ben Brereton,17.0,cl CHI,FW,25-121,69,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,False,NewcastleUtd_Southampton_20240817
Cameron Archer,19.0,eng ENG,FW,23-027,21,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,NewcastleUtd_Southampton_20240817
Adam Armstrong,9.0,eng ENG,FW,27-189,90,2,0,0,1,1,0,,0,0,0,0,0,2,0,0,False,NewcastleUtd_Southampton_20240817
Joe Aribo,7.0,ng NGA,CM,28-027,69,2,1,0,0,2,1,100.0,0,0,0,0,1,3,2,0,False,NewcastleUtd_Southampton_20240817
Tyler Dibling,33.0,eng ENG,CM,18-158,21,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,NewcastleUtd_Southampton_20240817
Flynn Downes,4.0,eng ENG,"CM,CB",25-210,90,2,1,1,1,0,1,100.0,0,1,1,0,0,2,2,0,False,NewcastleUtd_Southampton_20240817
William Smallbone,8.0,ie IRL,CM,24-178,90,2,2,1,1,0,1,100.0,0,1,0,1,0,2,0,0,False,NewcastleUtd_Southampton_20240817
Kyle Walker-Peters,2.0,eng ENG,WB,27-126,80,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,False,NewcastleUtd_Southampton_20240817
Carlos Alcaraz,22.0,ar ARG,CM,21-261,10,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,False,NewcastleUtd_Southampton_20240817
Yukinari Sugawara,16.0,jp JPN,WB,24-050,45,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,False,NewcastleUtd_Southampton_20240817
Samuel Edozie,23.0,eng ENG,WB,21-202,45,2,0,0,0,2,1,100.0,0,0,0,0,0,2,0,0,False,NewcastleUtd_Southampton_20240817
Jack Stephens,5.0,eng ENG,CB,30-203,90,1,0,1,0,0,1,0.0,1,2,0,2,0,1,2,0,False,NewcastleUtd_Southampton_20240817
Jan Bednarek,35.0,pl POL,CB,28-127,80,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,False,NewcastleUtd_Southampton_20240817
Samuel Amo-Ameyaw,27.0,eng ENG,WB,18-030,10,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,NewcastleUtd_Southampton_20240817
Taylor Harwood-Bellis,6.0,eng ENG,CB,22-200,90,1,1,1,0,0,0,,0,1,1,0,0,1,2,0,False,NewcastleUtd_Southampton_20240817
Alex McCarthy,1.0,eng ENG,GK,34-258,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,False,NewcastleUtd_Southampton_20240817
Dominic Calvert-Lewin,9.0,eng ENG,FW,27-154,75,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Everton_Brighton_20240817
Beto,14.0,gw GNB,FW,26-199,15,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,True,Everton_Brighton_20240817
Dwight McNeil,7.0,eng ENG,"LW,RB,RW",24-269,90,2,1,1,1,0,3,66.7,1,0,0,0,2,4,1,0,True,Everton_Brighton_20240817
Jack Harrison,11.0,eng ENG,RW,27-271,84,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,True,Everton_Brighton_20240817
Mason Holgate,4.0,jm JAM,"RW,RB",27-300,6,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Everton_Brighton_20240817
Abdoulaye Doucouré,16.0,ml MLI,AM,31-229,62,1,0,1,0,0,1,100.0,0,0,0,0,0,1,0,0,True,Everton_Brighton_20240817
Iliman Ndiaye,10.0,sn SEN,"LW,AM",24-164,28,3,2,2,0,1,2,100.0,0,0,0,0,0,3,0,0,True,Everton_Brighton_20240817
Idrissa Gana Gueye,27.0,sn SEN,DM,34-326,90,2,1,0,2,0,0,,0,3,0,3,0,2,0,0,True,Everton_Brighton_20240817
Tim Iroegbunam,42.0,eng ENG,DM,21-048,90,9,5,4,1,4,2,100.0,0,1,0,1,4,13,1,1,True,Everton_Brighton_20240817
Vitaliy Mykolenko,19.0,ua UKR,LB,25-080,90,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0,True,Everton_Brighton_20240817
Michael Keane,5.0,eng ENG,CB,31-219,90,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,True,Everton_Brighton_20240817
James Tarkowski,6.0,eng ENG,CB,31-272,90,2,1,0,1,1,5,40.0,3,3,1,2,4,6,2,0,True,Everton_Brighton_20240817
Ashley Young,18.0,eng ENG,RB,39-039,65,4,1,2,2,0,4,75.0,1,1,0,1,2,6,0,0,True,Everton_Brighton_20240817
Jordan Pickford,1.0,eng ENG,GK,30-163,90,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,True,Everton_Brighton_20240817
Danny Welbeck,18.0,eng ENG,FW,33-265,90,2,1,1,1,0,1,0.0,1,3,1,2,1,3,0,0,False,Everton_Brighton_20240817
Kaoru Mitoma,22.0,jp JPN,LW,27-089,88,3,1,1,1,1,3,66.7,1,2,0,2,0,3,1,0,False,Everton_Brighton_20240817
Yasin Ayari,26.0,se SWE,LW,20-316,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Everton_Brighton_20240817
Yankuba Minteh,17.0,gm GAM,RW,20-026,44,1,0,0,0,1,1,100.0,0,1,0,1,1,2,1,0,False,Everton_Brighton_20240817
Simon Adingra,24.0,ci CIV,RW,22-229,46,1,1,0,1,0,1,100.0,0,0,0,0,2,3,0,0,False,Everton_Brighton_20240817
João Pedro,9.0,br BRA,AM,22-326,81,2,1,0,1,1,1,100.0,0,0,0,0,1,3,0,0,False,Everton_Brighton_20240817
Jeremy Sarmiento,16.0,ec ECU,AM,22-062,9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Everton_Brighton_20240817
Mats Wieffer,27.0,nl NED,DM,24-275,90,4,3,1,2,1,1,100.0,0,1,0,1,0,4,2,0,False,Everton_Brighton_20240817
James Milner,6.0,eng ENG,DM,38-226,81,4,2,1,2,1,2,100.0,0,3,2,1,0,4,0,1,False,Everton_Brighton_20240817
Billy Gilmour,11.0,sct SCO,DM,23-067,9,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Everton_Brighton_20240817
Jack Hinshelwood,41.0,eng ENG,LB,19-128,90,0,0,0,0,0,2,0.0,2,0,0,0,1,1,3,0,False,Everton_Brighton_20240817
Lewis Dunk,5.0,eng ENG,CB,32-270,75,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,False,Everton_Brighton_20240817
Adam Webster,4.0,eng ENG,CB,29-226,15,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Everton_Brighton_20240817
Jan Paul van Hecke,29.0,nl NED,CB,24-070,90,2,2,1,1,0,2,50.0,1,0,0,0,0,2,3,0,False,Everton_Brighton_20240817
Joël Veltman,34.0,nl NED,RB,32-215,90,2,2,1,1,0,2,100.0,0,1,1,0,2,4,4,0,False,Everton_Brighton_20240817
Jason Steele,23.0,eng ENG,GK,33-365,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Everton_Brighton_20240817
Chris Wood,11.0,nz NZL,FW,32-254,71,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Nott'hamForest_Bournemouth_20240817
Taiwo Awoniyi,9.0,ng NGA,FW,27-005,19,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Nott'hamForest_Bournemouth_20240817
Callum Hudson-Odoi,14.0,eng ENG,LW,23-284,71,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,True,Nott'hamForest_Bournemouth_20240817
Elliot Anderson,8.0,eng ENG,LW,21-285,19,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,True,Nott'hamForest_Bournemouth_20240817
Anthony Elanga,21.0,se SWE,RW,22-112,53,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Nott'hamForest_Bournemouth_20240817
Nicolás Domínguez,16.0,ar ARG,RW,26-050,37,2,1,0,1,1,3,33.3,2,0,0,0,0,2,0,0,True,Nott'hamForest_Bournemouth_20240817
Morgan Gibbs-White,10.0,eng ENG,AM,24-203,90,1,0,0,1,0,0,,0,0,0,0,1,2,0,0,True,Nott'hamForest_Bournemouth_20240817
Danilo,28.0,br BRA,DM,23-110,14,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Nott'hamForest_Bournemouth_20240817
Ryan Yates,22.0,eng ENG,DM,26-270,76,1,1,0,1,0,0,,0,1,0,1,0,1,0,0,True,Nott'hamForest_Bournemouth_20240817
Ibrahim Sangaré,6.0,ci CIV,DM,26-259,90,5,3,1,4,0,2,100.0,0,2,0,2,1,6,0,0,True,Nott'hamForest_Bournemouth_20240817
Ola Aina,34.0,ng NGA,LB,27-314,53,2,2,1,1,0,1,100.0,0,1,0,1,1,3,2,0,True,Nott'hamForest_Bournemouth_20240817
Harry Toffolo,15.0,eng ENG,LB,28-364,37,2,0,1,0,1,0,,0,0,0,0,0,2,3,0,True,Nott'hamForest_Bournemouth_20240817
Murillo,5.0,br BRA,CB,22-044,90,1,1,1,0,0,1,0.0,1,2,2,0,0,1,6,0,True,Nott'hamForest_Bournemouth_20240817
Willy Boly,30.0,ci CIV,CB,33-196,90,4,0,3,1,0,3,100.0,0,3,1,2,1,5,8,0,True,Nott'hamForest_Bournemouth_20240817
Neco Williams,7.0,wls WAL,RB,23-126,90,5,3,3,2,0,4,50.0,2,2,0,2,2,7,3,0,True,Nott'hamForest_Bournemouth_20240817
Matz Sels,26.0,be BEL,GK,32-173,90,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,True,Nott'hamForest_Bournemouth_20240817
Antoine Semenyo,24.0,gh GHA,"LW,RW,FW",24-223,90,0,0,0,0,0,2,0.0,2,1,1,0,0,0,0,0,False,Nott'hamForest_Bournemouth_20240817
Luis Sinisterra,17.0,co COL,"FW,LW",25-061,62,1,0,0,0,1,2,0.0,2,1,0,1,0,1,1,0,False,Nott'hamForest_Bournemouth_20240817
Justin Kluivert,19.0,nl NED,"LW,FW",25-104,28,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,False,Nott'hamForest_Bournemouth_20240817
Dango Ouattara,11.0,bf BFA,RW,22-188,68,3,3,0,3,0,3,66.7,1,1,0,1,0,3,3,0,False,Nott'hamForest_Bournemouth_20240817
Daniel Jebbison,21.0,ca CAN,FW,21-004,22,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,False,Nott'hamForest_Bournemouth_20240817
Marcus Tavernier,16.0,eng ENG,"AM,DM",25-148,90,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,False,Nott'hamForest_Bournemouth_20240817
Lewis Cook,4.0,eng ENG,DM,27-196,83,1,0,1,0,0,2,0.0,2,2,1,1,2,3,1,0,False,Nott'hamForest_Bournemouth_20240817
Philip Billing,29.0,dk DEN,AM,28-067,7,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,False,Nott'hamForest_Bournemouth_20240817
Alex Scott,14.0,eng ENG,DM,20-362,62,8,4,4,2,2,7,85.7,1,3,0,3,3,11,2,0,False,Nott'hamForest_Bournemouth_20240817
Ryan Christie,10.0,sct SCO,DM,29-177,28,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,False,Nott'hamForest_Bournemouth_20240817
Milos Kerkez,3.0,hu HUN,LB,20-284,90,2,0,0,2,0,0,,0,1,0,1,1,3,2,0,False,Nott'hamForest_Bournemouth_20240817
Dean Huijsen,2.0,es ESP,CB,19-125,90,0,0,0,0,0,0,,0,2,1,1,2,2,6,0,False,Nott'hamForest_Bournemouth_20240817
Illia Zabarnyi,27.0,ua UKR,CB,21-351,90,0,0,0,0,0,0,,0,2,0,2,2,2,6,0,False,Nott'hamForest_Bournemouth_20240817
Adam Smith,15.0,eng ENG,RB,33-110,62,1,0,1,0,0,1,100.0,0,0,0,0,2,3,2,0,False,Nott'hamForest_Bournemouth_20240817
Julian Araujo,28.0,mx MEX,RB,23-004,28,1,0,1,0,0,1,100.0,0,0,0,0,0,1,1,0,False,Nott'hamForest_Bournemouth_20240817
Neto,1.0,br BRA,GK,35-029,90,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,False,Nott'hamForest_Bournemouth_20240817
Kai Havertz,29.0,de GER,"FW,LM",25-067,90,1,1,0,1,0,2,0.0,2,2,0,2,1,2,2,0,True,Arsenal_Wolves_20240817
Gabriel Martinelli,11.0,br BRA,"LW,RW",23-060,90,2,1,0,0,2,3,33.3,2,0,0,0,0,2,0,0,True,Arsenal_Wolves_20240817
Bukayo Saka,7.0,eng ENG,RW,22-347,79,2,2,0,1,1,0,,0,1,0,1,0,2,1,0,True,Arsenal_Wolves_20240817
Leandro Trossard,19.0,be BEL,LW,29-257,11,2,1,2,0,0,2,100.0,0,0,0,0,0,2,0,0,True,Arsenal_Wolves_20240817
Declan Rice,41.0,eng ENG,LM,25-216,84,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,True,Arsenal_Wolves_20240817
Gabriel Jesus,9.0,br BRA,FW,27-136,6,1,1,1,0,0,1,0.0,1,0,0,0,0,1,0,0,True,Arsenal_Wolves_20240817
Thomas Partey,5.0,gh GHA,CM,31-065,90,3,2,2,1,0,2,100.0,0,0,0,0,0,3,3,0,True,Arsenal_Wolves_20240817
Martin Ødegaard,8.0,no NOR,RM,25-244,90,1,1,0,1,0,2,0.0,2,0,0,0,0,1,0,0,True,Arsenal_Wolves_20240817
Oleksandr Zinchenko,17.0,ua UKR,LB,27-246,68,0,0,0,0,0,0,,0,1,0,1,2,2,2,0,True,Arsenal_Wolves_20240817
Jurriën Timber,12.0,nl NED,LB,23-061,22,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,True,Arsenal_Wolves_20240817
Gabriel Magalhães,6.0,br BRA,CB,26-242,90,1,0,1,0,0,0,,0,2,1,1,1,2,3,0,True,Arsenal_Wolves_20240817
William Saliba,2.0,fr FRA,CB,23-146,90,4,3,2,2,0,2,100.0,0,0,0,0,1,5,3,1,True,Arsenal_Wolves_20240817
Ben White,4.0,eng ENG,RB,26-314,90,1,1,1,0,0,2,50.0,1,0,0,0,1,2,0,0,True,Arsenal_Wolves_20240817
David Raya,22.0,es ESP,GK,28-337,90,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,True,Arsenal_Wolves_20240817
Jørgen Strand Larsen,9.0,no NOR,FW,24-193,83,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,False,Arsenal_Wolves_20240817
Chiquinho,23.0,pt POR,LM,24-194,7,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,False,Arsenal_Wolves_20240817
Rodrigo Gomes,19.0,pt POR,"LW,LM",21-041,74,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,False,Arsenal_Wolves_20240817
Daniel Podence,10.0,pt POR,RM,28-301,16,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,False,Arsenal_Wolves_20240817
Hwang Hee-chan,11.0,kr KOR,"RW,RM,FW,LM",28-204,90,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,False,Arsenal_Wolves_20240817
Jean-Ricner Bellegarde,27.0,ht HAI,AM,26-051,56,1,1,1,0,0,1,0.0,1,1,0,1,0,1,0,0,False,Arsenal_Wolves_20240817
Matheus Cunha,12.0,br BRA,FW,25-082,34,2,1,1,0,1,0,,0,0,0,0,0,2,2,0,False,Arsenal_Wolves_20240817
Mario Lemina,5.0,ga GAB,"DM,CM",30-351,90,2,0,2,0,0,2,50.0,1,3,3,0,5,7,2,0,False,Arsenal_Wolves_20240817
